id,name,category,meal_type,calories,protein,carbs,fats,portion,tags
1,Oatmeal with Banana,breakfast,breakfast,280,8,52,5,1 bowl,"vegetarian,high-carb,indian,american"
2,Scrambled Eggs & Toast,breakfast,breakfast,350,18,28,18,2 eggs + 2 slices,"vegetarian,high-protein,american"
3,Greek Yogurt with Berries,breakfast,breakfast,180,15,20,3,1 cup,"vegetarian,high-protein,keto-friendly"
4,Idli with Sambar,breakfast,breakfast,250,9,45,3,3 idlis,"vegetarian,indian"
5,Avocado Toast,breakfast,breakfast,320,9,30,18,2 slices,"vegan,vegetarian,healthy"
6,Smoothie Bowl,breakfast,breakfast,310,8,55,6,1 bowl,"vegan,vegetarian,healthy"
7,Poha,breakfast,breakfast,220,5,40,4,1 bowl,"vegetarian,indian"
8,Masala Omelette,breakfast,breakfast,290,18,8,20,2 eggs,"vegetarian,indian,high-protein"
9,Chia Pudding,breakfast,breakfast,250,8,30,10,1 jar,"vegan,vegetarian,healthy"
10,Peanut Butter Banana Toast,breakfast,breakfast,370,12,48,14,2 slices,"vegetarian,american,high-protein"
11,Grilled Chicken Salad,lunch,lunch,420,38,18,22,1 plate,"high-protein,non-vegetarian,keto,american"
12,Paneer Tikka Wrap,lunch,lunch,480,24,45,22,1 wrap,"vegetarian,indian,high-protein"
13,Quinoa Veggie Bowl,lunch,lunch,400,14,55,12,1 bowl,"vegan,vegetarian,healthy"
14,Dal Chawal,lunch,lunch,450,16,70,8,1 plate,"vegetarian,indian"
15,Turkey Sandwich,lunch,lunch,420,28,40,15,1 sandwich,"non-vegetarian,american,high-protein"
16,Caesar Salad,lunch,lunch,350,14,20,24,1 plate,"vegetarian,american,healthy"
17,Greek Salad,lunch,lunch,280,8,18,20,1 plate,"vegetarian,healthy,keto"
18,Tuna Salad Bowl,lunch,lunch,390,35,12,22,1 bowl,"non-vegetarian,keto,high-protein,healthy"
19,Chole Bhature,lunch,lunch,520,18,72,18,1 plate,"vegetarian,indian"
20,Veggie Buddha Bowl,lunch,lunch,430,15,58,14,1 bowl,"vegan,vegetarian,healthy"
21,Chicken Caesar Wrap,lunch,lunch,460,32,42,18,1 wrap,"non-vegetarian,american,high-protein"
22,Lentil Soup & Bread,lunch,lunch,380,18,55,8,1 bowl,"vegan,vegetarian,healthy,indian"
23,Grilled Salmon & Veg,dinner,dinner,500,40,15,28,1 fillet,"non-vegetarian,keto,high-protein,healthy"
24,Tofu Stir Fry,dinner,dinner,380,22,30,18,1 plate,"vegan,vegetarian,high-protein,healthy"
25,Chicken Curry & Roti,dinner,dinner,550,35,55,18,1 plate,"non-vegetarian,indian,high-protein"
26,Vegetable Soup & Bread,dinner,dinner,300,10,40,8,1 bowl,"vegetarian,healthy"
27,Steak with Veggies,dinner,dinner,600,45,12,38,1 plate,"non-vegetarian,keto,high-protein,american"
28,Palak Paneer & Rice,dinner,dinner,480,22,55,18,1 plate,"vegetarian,indian"
29,Grilled Shrimp & Salad,dinner,dinner,420,38,12,20,1 plate,"non-vegetarian,keto,high-protein,healthy"
30,Pasta Primavera,dinner,dinner,490,14,72,14,1 plate,"vegetarian,american"
31,Biryani,dinner,dinner,580,28,75,18,1 plate,"non-vegetarian,indian"
32,Baked Chicken & Sweet Potato,dinner,dinner,520,42,38,14,1 plate,"non-vegetarian,american,high-protein"
33,Mushroom Risotto,dinner,dinner,450,12,68,14,1 plate,"vegetarian,healthy"
34,Fish Tacos,dinner,dinner,480,30,45,18,2 tacos,"non-vegetarian,american"
35,Apple with Peanut Butter,snack,snack,200,6,22,10,1 apple + 1 tbsp,"vegetarian,healthy"
36,Protein Shake,snack,snack,180,25,10,3,1 shake,"high-protein"
37,Mixed Nuts,snack,snack,170,6,6,15,30g,"vegan,vegetarian,keto"
38,Hummus & Carrots,snack,snack,150,5,15,8,1 cup,"vegan,vegetarian,healthy"
39,Boiled Eggs,snack,snack,140,12,1,10,2 eggs,"keto,high-protein,non-vegetarian"
40,Fruit Salad,snack,snack,120,2,28,1,1 bowl,"vegan,vegetarian,healthy"
41,Rice Cakes with Almond Butter,snack,snack,180,5,24,8,2 cakes,"vegan,vegetarian,healthy"
42,Cottage Cheese & Pineapple,snack,snack,160,14,18,3,1 cup,"vegetarian,high-protein"
43,Fresh Orange Juice,juice,breakfast,110,2,26,0,1 glass,"vegan,vegetarian,healthy"
44,Green Detox Juice,juice,breakfast,90,3,18,1,1 glass,"vegan,vegetarian,healthy"
45,Mango Lassi,juice,breakfast,220,6,38,5,1 glass,"vegetarian,indian"
46,Watermelon Juice,juice,breakfast,80,1,18,0,1 glass,"vegan,vegetarian,healthy"
47,Beetroot Carrot Juice,juice,breakfast,95,2,20,0,1 glass,"vegan,vegetarian,healthy"
48,Spinach Apple Juice,juice,breakfast,85,2,18,0,1 glass,"vegan,vegetarian,healthy"
49,Pineapple Ginger Juice,juice,breakfast,100,1,22,0,1 glass,"vegan,vegetarian,healthy"
50,Protein Green Smoothie,juice,breakfast,200,15,25,4,1 glass,"vegetarian,high-protein,healthy"
51,Garden Salad,salad,lunch,180,4,20,10,1 plate,"vegan,vegetarian,healthy"
52,Spinach & Strawberry Salad,salad,lunch,220,6,24,12,1 plate,"vegetarian,healthy"
53,Kale & Quinoa Salad,salad,lunch,310,12,38,12,1 plate,"vegan,vegetarian,healthy,high-protein"
54,Chicken & Avocado Salad,salad,lunch,400,35,12,24,1 plate,"non-vegetarian,keto,high-protein,healthy"
55,Caprese Salad,salad,lunch,260,12,10,20,1 plate,"vegetarian,keto,healthy"
56,Mexican Bean Salad,salad,lunch,320,14,45,10,1 plate,"vegan,vegetarian,healthy"
57,Nicoise Salad,salad,lunch,380,28,18,22,1 plate,"non-vegetarian,healthy,high-protein"
58,Roasted Veggie Salad,salad,lunch,280,8,35,14,1 plate,"vegan,vegetarian,healthy"
